SDD Version, SDDv1.0;
Software, TOPAS-nBio;
Author, Matthew Andriotty;
Simulation Details, Nucleus simulation;
Source, Monoenergetic source;
Source type, 1;
Incident particles, 10;
Mean particle energy, 0.500000;
Energy distribution, M, 0;
Particle fraction, 1.0;
Dose or fluence, 1, 1e-12;
Dose rate, 0.0;
Irradiation target, Nucleus;
Volumes, 0,5,5,5,0,0,0,1,4.65,4.65,4.65,0,0,0;
Chromosome sizes, 46,252.823,252.823,248.157,248.157,204.04,204.04,195.556,195.556,184.951,184.951,174.77,174.77,162.469,162.469,149.318,149.318,143.38,143.38,138.289,138.289,137.441,137.441,135.32,135.32,116.655,116.655,108.595,108.595,102.656,102.656,90.7788,90.7788,80.1738,80.1738,77.6286,77.6286,65.3268,65.3268,63.63,63.63,47.9346,47.9346,50.4798,50.4798,58.9638,158.227;
DNA Density, 14.4316;
Cell Cycle Phase, 0, 1;
DNA Structure, 0, 1;
In vitro / in vivo, 0;
Proliferation status, 1;
Microenvironment, 20, 0.01;
Damage definition, 1, 0, 10, 10, 17.5;
Time, 0.000000;
Damage and primary count, 1542, 10;
Data entries, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0;
Additional information, ;
***EndOfHeader***;

2, 0; 3.34393, 0.385938, -2.64369 / 3.34488, 0.386715, -2.64283 / 3.34298, 0.38516, -2.64455; 1, 2, 1, 0; 0.673025810273; 2, 1, 3; 0, 4, 1; 2, 3, 2 / 2, 4, 2 / 3, 1, 1 / 3, 5, 0 / 3, 6, 3 / 3, 8, 0 ;
0, 0; 3.329438, 0.392784, -2.641742 / 3.330302, 0.392975, -2.641006 / 3.328575, 0.392592, -2.642478; 1, 2, 1, 0; 0.673027011126; 2, 2, 1; 0, 3, 1; 2, 1, 1 / 2, 4, 0 / 2, 5, 0 / 2, 8, 2 / 3, 5, 1 / 3, 6, 0 / 3, 7, 0 / 3, 8, 0 ;
0, 0; 3.228186, 0.437980, -2.621564 / 3.229005, 0.438506, -2.620743 / 3.227366, 0.437454, -2.622385; 1, 2, 1, 0; 0.673200300616; 2, 2, 1; 0, 3, 1; 2, 1, 1 / 2, 3, 0 / 2, 4, 0 / 2, 5, 0 / 2, 7, 1 / 3, 4, 2 / 3, 6, 0 / 3, 7, 0 ;
0, 0; 3.206780, 0.447517, -2.616936 / 3.207271, 0.447914, -2.616748 / 3.206289, 0.447119, -2.617123; 1, 2, 1, 0; 0.673204185254; 2, 1, 1; 0, 2, 1; 2, 4, 1 / 3, 1, 2 ;
0, 0; 3.213406, 0.444088, -2.620246 / 3.213534, 0.444125, -2.620085 / 3.213279, 0.444052, -2.620406; 1, 2, 1, 0; 0.673204338383; 2, 1, 1; 0, 2, 0; 2, 1, 1 / 2, 2, 2 / 3, 10, 0 ;
0, 0; 3.344395, 0.389900, -2.640960 / 3.344395, 0.389900, -2.640960 / 3.344395, 0.389900, -2.640960; 1, 2, 1, 0; 0.673025717590; 1, 0, 1; 0, 1, 0; 3, 1, 2 / 3, 6, 0 / 3, 7, 0 ;
0, 0; 3.341177, 0.390386, -2.641000 / 3.341177, 0.390386, -2.641000 / 3.341177, 0.390386, -2.641000; 1, 2, 1, 0; 0.673026197125; 1, 0, 1; 0, 1, 0; 3, 1, 2 / 3, 10, 0 ;
0, 0; 3.232802, 0.437579, -2.626120 / 3.232802, 0.437579, -2.626120 / 3.232802, 0.437579, -2.626120; 1, 2, 1, 0; 0.673200151517; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 0; 3.235792, 0.432681, -2.622127 / 3.235792, 0.432681, -2.622127 / 3.235792, 0.432681, -2.622127; 1, 2, 1, 0; 0.673200546428; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 0; 3.235335, 0.432423, -2.625291 / 3.235335, 0.432423, -2.625291 / 3.235335, 0.432423, -2.625291; 1, 2, 1, 0; 0.673200598814; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 0; 3.213208, 0.444503, -2.616905 / 3.213208, 0.444503, -2.616905 / 3.213208, 0.444503, -2.616905; 1, 2, 1, 0; 0.673204382709; 0, 1, 0; 0, 1, 0; 3, 1, 1 / 3, 9, 0 ;
0, 0; 3.206946, 0.449626, -2.616607 / 3.206946, 0.449626, -2.616607 / 3.206946, 0.449626, -2.616607; 1, 2, 1, 0; 0.673204672848; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 3, 2, 0 / 3, 3, 0 ;
